run_id,timestamp_utc,fpga_bin_label,git_commit,git_branch,git_dirty,suite,case_id,exec_key,app,kind,op,backend,variant,stage,name,args,shape_json,calls_per_forward,fpga_bin_dir,xclbin_sha256,warmup,iterations,source,status,returncode,failure_phase,failure_reason,raw_csv,log_file,elapsed_wall_s,samples,min_us,avg_us,max_us,p50_us,p95_us
sample_prefill_C1_b4_s32_ffn,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C1_batch4_seq32_ffn,sp_p_c1_b4_s32_ffn,synthetic_latency_bench,workload,ffn,synthetic,C1,prefill,ffn,--sample-op ffn --stage prefill --variant C1 --batch 4 --seq 32,"{""batch"": 4,""seq"": 32,""component"": ""ffn""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,7147.8,7900.2,8652.6,7524,8426.88
sample_prefill_C1_b4_s32_norm,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C1_batch4_seq32_norm,sp_p_c1_b4_s32_norm,synthetic_latency_bench,workload,norm,synthetic,C1,prefill,norm,--sample-op norm --stage prefill --variant C1 --batch 4 --seq 32,"{""batch"": 4,""seq"": 32,""component"": ""norm""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,1299.6,1436.4,1573.2,1368,1532.16
sample_prefill_C2_b1_s8_attn,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C2_batch1_seq8_attn,sp_p_c2_b1_s8_attn,synthetic_latency_bench,workload,attn,synthetic,C2,prefill,attn,--sample-op attn --stage prefill --variant C2 --batch 1 --seq 8,"{""batch"": 1,""seq"": 8,""component"": ""attn""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,282.625,312.375,342.125,297.5,333.2
sample_prefill_C2_b1_s8_ffn,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C2_batch1_seq8_ffn,sp_p_c2_b1_s8_ffn,synthetic_latency_bench,workload,ffn,synthetic,C2,prefill,ffn,--sample-op ffn --stage prefill --variant C2 --batch 1 --seq 8,"{""batch"": 1,""seq"": 8,""component"": ""ffn""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,444.125,490.875,537.625,467.5,523.6
sample_prefill_C2_b1_s8_norm,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C2_batch1_seq8_norm,sp_p_c2_b1_s8_norm,synthetic_latency_bench,workload,norm,synthetic,C2,prefill,norm,--sample-op norm --stage prefill --variant C2 --batch 1 --seq 8,"{""batch"": 1,""seq"": 8,""component"": ""norm""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,80.75,89.25,97.75,85,95.2
sample_prefill_C2_b1_s32_attn,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C2_batch1_seq32_attn,sp_p_c2_b1_s32_attn,synthetic_latency_bench,workload,attn,synthetic,C2,prefill,attn,--sample-op attn --stage prefill --variant C2 --batch 1 --seq 32,"{""batch"": 1,""seq"": 32,""component"": ""attn""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,1047.375,1157.625,1267.875,1102.5,1234.8
sample_prefill_C2_b1_s32_ffn,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C2_batch1_seq32_ffn,sp_p_c2_b1_s32_ffn,synthetic_latency_bench,workload,ffn,synthetic,C2,prefill,ffn,--sample-op ffn --stage prefill --variant C2 --batch 1 --seq 32,"{""batch"": 1,""seq"": 32,""component"": ""ffn""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,1645.875,1819.125,1992.375,1732.5,1940.4
sample_prefill_C2_b1_s32_norm,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C2_batch1_seq32_norm,sp_p_c2_b1_s32_norm,synthetic_latency_bench,workload,norm,synthetic,C2,prefill,norm,--sample-op norm --stage prefill --variant C2 --batch 1 --seq 32,"{""batch"": 1,""seq"": 32,""component"": ""norm""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,299.25,330.75,362.25,315,352.8
sample_prefill_C2_b4_s8_attn,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C2_batch4_seq8_attn,sp_p_c2_b4_s8_attn,synthetic_latency_bench,workload,attn,synthetic,C2,prefill,attn,--sample-op attn --stage prefill --variant C2 --batch 4 --seq 8,"{""batch"": 4,""seq"": 8,""component"": ""attn""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,1017.45,1124.55,1231.65,1071,1199.52
sample_prefill_C2_b4_s8_ffn,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C2_batch4_seq8_ffn,sp_p_c2_b4_s8_ffn,synthetic_latency_bench,workload,ffn,synthetic,C2,prefill,ffn,--sample-op ffn --stage prefill --variant C2 --batch 4 --seq 8,"{""batch"": 4,""seq"": 8,""component"": ""ffn""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,1598.85,1767.15,1935.45,1683,1884.96
sample_prefill_C2_b4_s8_norm,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C2_batch4_seq8_norm,sp_p_c2_b4_s8_norm,synthetic_latency_bench,workload,norm,synthetic,C2,prefill,norm,--sample-op norm --stage prefill --variant C2 --batch 4 --seq 8,"{""batch"": 4,""seq"": 8,""component"": ""norm""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,290.7,321.3,351.9,306,342.72
sample_prefill_C2_b4_s32_attn,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C2_batch4_seq32_attn,sp_p_c2_b4_s32_attn,synthetic_latency_bench,workload,attn,synthetic,C2,prefill,attn,--sample-op attn --stage prefill --variant C2 --batch 4 --seq 32,"{""batch"": 4,""seq"": 32,""component"": ""attn""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,3770.55,4167.45,4564.35,3969,4445.28
sample_prefill_C2_b4_s32_ffn,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C2_batch4_seq32_ffn,sp_p_c2_b4_s32_ffn,synthetic_latency_bench,workload,ffn,synthetic,C2,prefill,ffn,--sample-op ffn --stage prefill --variant C2 --batch 4 --seq 32,"{""batch"": 4,""seq"": 32,""component"": ""ffn""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,5925.15,6548.85,7172.55,6237,6985.44
sample_prefill_C2_b4_s32_norm,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C2_batch4_seq32_norm,sp_p_c2_b4_s32_norm,synthetic_latency_bench,workload,norm,synthetic,C2,prefill,norm,--sample-op norm --stage prefill --variant C2 --batch 4 --seq 32,"{""batch"": 4,""seq"": 32,""component"": ""norm""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,1077.3,1190.7,1304.1,1134,1270.08
sample_prefill_C3_b1_s8_attn,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C3_batch1_seq8_attn,sp_p_c3_b1_s8_attn,synthetic_latency_bench,workload,attn,synthetic,C3,prefill,attn,--sample-op attn --stage prefill --variant C3 --batch 1 --seq 8,"{""batch"": 1,""seq"": 8,""component"": ""attn""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,432.25,477.75,523.25,455,509.6
sample_prefill_C3_b1_s8_ffn,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C3_batch1_seq8_ffn,sp_p_c3_b1_s8_ffn,synthetic_latency_bench,workload,ffn,synthetic,C3,prefill,ffn,--sample-op ffn --stage prefill --variant C3 --batch 1 --seq 8,"{""batch"": 1,""seq"": 8,""component"": ""ffn""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,679.25,750.75,822.25,715,800.8
sample_prefill_C3_b1_s8_norm,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C3_batch1_seq8_norm,sp_p_c3_b1_s8_norm,synthetic_latency_bench,workload,norm,synthetic,C3,prefill,norm,--sample-op norm --stage prefill --variant C3 --batch 1 --seq 8,"{""batch"": 1,""seq"": 8,""component"": ""norm""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,123.5,136.5,149.5,130,145.6
sample_prefill_C3_b1_s32_attn,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C3_batch1_seq32_attn,sp_p_c3_b1_s32_attn,synthetic_latency_bench,workload,attn,synthetic,C3,prefill,attn,--sample-op attn --stage prefill --variant C3 --batch 1 --seq 32,"{""batch"": 1,""seq"": 32,""component"": ""attn""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,1729,1911,2093,1820,2038.4
sample_prefill_C3_b1_s32_ffn,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C3_batch1_seq32_ffn,sp_p_c3_b1_s32_ffn,synthetic_latency_bench,workload,ffn,synthetic,C3,prefill,ffn,--sample-op ffn --stage prefill --variant C3 --batch 1 --seq 32,"{""batch"": 1,""seq"": 32,""component"": ""ffn""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,2717,3003,3289,2860,3203.2
sample_prefill_C3_b1_s32_norm,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C3_batch1_seq32_norm,sp_p_c3_b1_s32_norm,synthetic_latency_bench,workload,norm,synthetic,C3,prefill,norm,--sample-op norm --stage prefill --variant C3 --batch 1 --seq 32,"{""batch"": 1,""seq"": 32,""component"": ""norm""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,494,546,598,520,582.4
sample_prefill_C3_b4_s8_attn,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C3_batch4_seq8_attn,sp_p_c3_b4_s8_attn,synthetic_latency_bench,workload,attn,synthetic,C3,prefill,attn,--sample-op attn --stage prefill --variant C3 --batch 4 --seq 8,"{""batch"": 4,""seq"": 8,""component"": ""attn""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,1556.1,1719.9,1883.7,1638,1834.56
sample_prefill_C3_b4_s8_ffn,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C3_batch4_seq8_ffn,sp_p_c3_b4_s8_ffn,synthetic_latency_bench,workload,ffn,synthetic,C3,prefill,ffn,--sample-op ffn --stage prefill --variant C3 --batch 4 --seq 8,"{""batch"": 4,""seq"": 8,""component"": ""ffn""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,2445.3,2702.7,2960.1,2574,2882.88
sample_prefill_C3_b4_s8_norm,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C3_batch4_seq8_norm,sp_p_c3_b4_s8_norm,synthetic_latency_bench,workload,norm,synthetic,C3,prefill,norm,--sample-op norm --stage prefill --variant C3 --batch 4 --seq 8,"{""batch"": 4,""seq"": 8,""component"": ""norm""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,444.6,491.4,538.2,468,524.16
sample_prefill_C3_b4_s32_attn,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C3_batch4_seq32_attn,sp_p_c3_b4_s32_attn,synthetic_latency_bench,workload,attn,synthetic,C3,prefill,attn,--sample-op attn --stage prefill --variant C3 --batch 4 --seq 32,"{""batch"": 4,""seq"": 32,""component"": ""attn""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,6224.4,6879.6,7534.8,6552,7338.24
sample_prefill_C3_b4_s32_ffn,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C3_batch4_seq32_ffn,sp_p_c3_b4_s32_ffn,synthetic_latency_bench,workload,ffn,synthetic,C3,prefill,ffn,--sample-op ffn --stage prefill --variant C3 --batch 4 --seq 32,"{""batch"": 4,""seq"": 32,""component"": ""ffn""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,9781.2,10810.8,11840.4,10296,11531.52
sample_prefill_C3_b4_s32_norm,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C3_batch4_seq32_norm,sp_p_c3_b4_s32_norm,synthetic_latency_bench,workload,norm,synthetic,C3,prefill,norm,--sample-op norm --stage prefill --variant C3 --batch 4 --seq 32,"{""batch"": 4,""seq"": 32,""component"": ""norm""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,1778.4,1965.6,2152.8,1872,2096.64
sample_prefill_C4_fused_b1_s8_attn,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C4_fused_batch1_seq8_attn,sp_p_c4f_b1_s8_attn,synthetic_latency_bench,workload,attn,synthetic,C4_fused,prefill,attn,--sample-op attn --stage prefill --variant C4_fused --batch 1 --seq 8,"{""batch"": 1,""seq"": 8,""component"": ""attn""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,216.125,238.875,261.625,227.5,254.8
sample_prefill_C4_fused_b1_s8_ffn,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C4_fused_batch1_seq8_ffn,sp_p_c4f_b1_s8_ffn,synthetic_latency_bench,workload,ffn,synthetic,C4_fused,prefill,ffn,--sample-op ffn --stage prefill --variant C4_fused --batch 1 --seq 8,"{""batch"": 1,""seq"": 8,""component"": ""ffn""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,339.625,375.375,411.125,357.5,400.4
sample_prefill_C4_fused_b1_s8_norm,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C4_fused_batch1_seq8_norm,sp_p_c4f_b1_s8_norm,synthetic_latency_bench,workload,norm,synthetic,C4_fused,prefill,norm,--sample-op norm --stage prefill --variant C4_fused --batch 1 --seq 8,"{""batch"": 1,""seq"": 8,""component"": ""norm""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,61.75,68.25,74.75,65,72.8
sample_prefill_C4_fused_b1_s32_attn,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C4_fused_batch1_seq32_attn,sp_p_c4f_b1_s32_attn,synthetic_latency_bench,workload,attn,synthetic,C4_fused,prefill,attn,--sample-op attn --stage prefill --variant C4_fused --batch 1 --seq 32,"{""batch"": 1,""seq"": 32,""component"": ""attn""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,798,882,966,840,940.8
sample_prefill_C4_fused_b1_s32_ffn,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C4_fused_batch1_seq32_ffn,sp_p_c4f_b1_s32_ffn,synthetic_latency_bench,workload,ffn,synthetic,C4_fused,prefill,ffn,--sample-op ffn --stage prefill --variant C4_fused --batch 1 --seq 32,"{""batch"": 1,""seq"": 32,""component"": ""ffn""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,1254,1386,1518,1320,1478.4
sample_prefill_C4_fused_b1_s32_norm,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C4_fused_batch1_seq32_norm,sp_p_c4f_b1_s32_norm,synthetic_latency_bench,workload,norm,synthetic,C4_fused,prefill,norm,--sample-op norm --stage prefill --variant C4_fused --batch 1 --seq 32,"{""batch"": 1,""seq"": 32,""component"": ""norm""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,228,252,276,240,268.8
sample_prefill_C4_fused_b4_s8_attn,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C4_fused_batch4_seq8_attn,sp_p_c4f_b4_s8_attn,synthetic_latency_bench,workload,attn,synthetic,C4_fused,prefill,attn,--sample-op attn --stage prefill --variant C4_fused --batch 4 --seq 8,"{""batch"": 4,""seq"": 8,""component"": ""attn""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,778.05,859.95,941.85,819,917.28
sample_prefill_C4_fused_b4_s8_ffn,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C4_fused_batch4_seq8_ffn,sp_p_c4f_b4_s8_ffn,synthetic_latency_bench,workload,ffn,synthetic,C4_fused,prefill,ffn,--sample-op ffn --stage prefill --variant C4_fused --batch 4 --seq 8,"{""batch"": 4,""seq"": 8,""component"": ""ffn""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,1222.65,1351.35,1480.05,1287,1441.44
sample_prefill_C4_fused_b4_s8_norm,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C4_fused_batch4_seq8_norm,sp_p_c4f_b4_s8_norm,synthetic_latency_bench,workload,norm,synthetic,C4_fused,prefill,norm,--sample-op norm --stage prefill --variant C4_fused --batch 4 --seq 8,"{""batch"": 4,""seq"": 8,""component"": ""norm""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,222.3,245.7,269.1,234,262.08
sample_prefill_C4_fused_b4_s32_attn,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C4_fused_batch4_seq32_attn,sp_p_c4f_b4_s32_attn,synthetic_latency_bench,workload,attn,synthetic,C4_fused,prefill,attn,--sample-op attn --stage prefill --variant C4_fused --batch 4 --seq 32,"{""batch"": 4,""seq"": 32,""component"": ""attn""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,2872.8,3175.2,3477.6,3024,3386.88
sample_prefill_C4_fused_b4_s32_ffn,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C4_fused_batch4_seq32_ffn,sp_p_c4f_b4_s32_ffn,synthetic_latency_bench,workload,ffn,synthetic,C4_fused,prefill,ffn,--sample-op ffn --stage prefill --variant C4_fused --batch 4 --seq 32,"{""batch"": 4,""seq"": 32,""component"": ""ffn""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,4514.4,4989.6,5464.8,4752,5322.24
sample_prefill_C4_fused_b4_s32_norm,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C4_fused_batch4_seq32_norm,sp_p_c4f_b4_s32_norm,synthetic_latency_bench,workload,norm,synthetic,C4_fused,prefill,norm,--sample-op norm --stage prefill --variant C4_fused --batch 4 --seq 32,"{""batch"": 4,""seq"": 32,""component"": ""norm""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,820.8,907.2,993.6,864,967.68
sample_generation_C1_b1_s8_attn,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_generation_C1_batch1_seq8_attn,sp_g_c1_b1_s8_attn,synthetic_latency_bench,workload,attn,synthetic,C1,generation,attn,--sample-op attn --stage generation --variant C1 --batch 1 --seq 8,"{""batch"": 1,""seq"": 8,""component"": ""attn""}",1,,sample_sha,1,1,case_matrix:llama2_7b_generation_plot_sample,pass,0,,,,,0.100,1,73.15,80.85,88.55,77,86.24
sample_generation_C1_b1_s8_ffn,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_generation_C1_batch1_seq8_ffn,sp_g_c1_b1_s8_ffn,synthetic_latency_bench,workload,ffn,synthetic,C1,generation,ffn,--sample-op ffn --stage generation --variant C1 --batch 1 --seq 8,"{""batch"": 1,""seq"": 8,""component"": ""ffn""}",1,,sample_sha,1,1,case_matrix:llama2_7b_generation_plot_sample,pass,0,,,,,0.100,1,39.9,44.1,48.3,42,47.04
sample_generation_C1_b1_s8_norm,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_generation_C1_batch1_seq8_norm,sp_g_c1_b1_s8_norm,synthetic_latency_bench,workload,norm,synthetic,C1,generation,norm,--sample-op norm --stage generation --variant C1 --batch 1 --seq 8,"{""batch"": 1,""seq"": 8,""component"": ""norm""}",1,,sample_sha,1,1,case_matrix:llama2_7b_generation_plot_sample,pass,0,,,,,0.100,1,19.95,22.05,24.15,21,23.52
